label,claim
1,because of democratic tax hikes new jersey ended a decade with fewer private sector jobs for the first time in recorded history
1,handel endorsed gay adoption in 2003 when she was running for chairwoman of the fulton county commission
1,a new federal program provides subsidized obama phones with 70 free minutes of cell phone service every month
1,in the 100 days since its passage the economic stimulus has saved or created nearly 150000 jobs
1,bill gunter would drain millions from local public schools and give our tax dollars to private forprofit schools run by outofstate corporations
1,paul ryans medicare plan provides pretty much the same coverage that members of congress receive
1,in 2012 123 africanamericans were shot dead by police same year 326 whites were killed by police
1,by voting to approve question 1 we can save 900 jobs at twin river
1,america is one of the highesttaxed nations in the world
1,most of ted cruzs money comes from washington from outside the state of texas
1,says stores will be barred from selling 100watt light bulbs as of 2012
1,ch guevara wrote extensively about the superiority of white europeans over people of african descent
1,mitt romneys platform wont protect the mortgage interest tax deduction for middleclass families
1,when i took office in 2003 we had very little reserves
1,in florida we have the lowest instate tuition of any state
1,says that politicians who approved collective bargaining restrictions for public employees exploited a loophole exempting themselves from senate bill 5
1,kathleen peters refuses to take a stand to repeal obamacare
1,four times i said he john mccainis a hero but you know people choose selective pieces
1,americans increasingly want the affordable care act to be repealed
1,more 25 to 34yearolds are moving to austin than any other city in america
1,the governor must inform the senate president about his or her absence from the state
1,republicans are trying to impeach our president
1,the price of gasoline was at 185 a gallon when president barack obama took office and has since nearly doubled because of his policies
1,three years ago a newly elected president obama told america that if congress approved his plan to borrow nearly a trillion dollars he would hold unemployment below 8 percent
1,some of our states educational administrators joined the feds in seeking to mandate arabic classes for texas children
1,there is currently no ability to vet these people referring to syrian refugees
1,dave aronbergs career legal experience is less than two years as asst agprivate attorney
1,says gov chris christie has now come up with a new agenda for ethics reform in september 2011
1,says under his leadership wisconsin median household income is up 27 while it is down 13 nationally under president obama
1,of hospitals in rick scotts columbiahca health care company a top executive said they even turned away a poor man and left him to die outside their door
1,the debtceiling bill doesnt cut the debt it will add about 7 trillion in new debt over the next 10 years
1,this president spends 30 times as much money on global warming research as he does on weather forecasting and warning
1,says jeb bush once held 1 million in family planning grants hostage until the programs receiving the money agreed not to discuss birth control at all
1,connie macks only real job in the real world was as events coordinator for hooters
1,there are many health insurance plans that will cover viagra but wont cover birthcontrol medication
1,the presidents come out with rules that say no new coalfired power plants
1,donald trump has described hillary clinton as one of the best secretaries of state in history
1,jack berry voted for a plan to cut 238 million from our schools
1,says military commanders have said that if donald trump were elected they would not follow his orders
1,the house passed cut cap and balance with bipartisan support
1,senator obama has the most liberal voting record in the united states senate
1,says romney wants to take away early childhood education slash k12 funding and cut college aid to pay for a 250000 tax break for multimillionaires
1,the health care law imposes a federal mandate requiring middleclass americans to buy health insurance whether they can afford it or not
1,under the democratic health plan families will be forced to spend an additional 2100 a year to keep their current health care
1,a littleknown unit of the department of justice the community relations service was deployed to sanford fl following the trayvon martin shooting to help organize and manage rallies and protests against george zimmerman
1,says john boehner changed his position on extending bush tax cuts
1,says adam hasner said he will never accept a pay increase but he voted to raise his pay four times
1,we have the highest funding in the k12 system in the history of the state
1,obama creates new tax on christmas trees fees get passed on to consumers
1,under president george w bush prosecution of gun crimes was 30 percent higher than it is under president obama
1,says russian president vladimir putin calls me brilliant
1,says el paso was named americas safest large city a year after san antonio houston and dallas had the nations highest crime rates
1,a 2011 measure passed into law with wendy davis support removes from the attorney general the ability to settle lawsuits just like the school funding case
1,13 of our kids drop out of high school cannot go to college or start a career
1,i fought 38 studios from the beginning
1,were practically not allowed to use coal any more what do we do with our coal we ship it to china and they spew it in the air
1,the folks in washington are already forcing you to buy government health care
1,says president barack obama failed to stand up for the bipartisan debt solutions of the simpsonbowles commission
1,says romney invested in a firm that made goods in china that could have been made here in america
1,some billionaires have a tax rate as low as 1 percent
1,says democratic recall opponent shelly moore opposes any limit on taxes
1,gov scott walker has yet to create a job he gives away millions to his friends and he raises taxes on working people
1,says the us postal service has taken no taxpayer aid since 1971 funds operations entirely from the sale of stamps and related products and makes an operational profit year after year
1,says the recall elections that aimed to remove him and other republican officials from office cost tens of millions of dollars to run
1,muslims tried to use sharia law to influence court decisions in new jersey and oklahoma
1,if women seeking an abortion see their ultrasound the odds are pretty high theyre going to keep the baby
1,700 jobs were lost because allen boyd voted for the health care bill
1,theres a section in the constitution called the emoluments clause that says no one nor their spouses can take money from foreigners hillary clinton has to be guilty of 70 or 100 counts just on that one charge
1,says credit rating agencies realize that our instability stems in large part from oregons kicker system
1,according to a federal report obamacare will increase the longterm federal deficit by 62 trillion
1,jim marshall votes liberal in washington and we arent fooled
1,says real estate taxes were put in place to pay for obamacare
1,says rob portman was a registered foreign agent whose client was haiti at a time when the baby doc duvalier who was a despot was killing people
1,even the employees union for the irs the very people in charge of enforcing this law are begging to be let out from under this law
1,says he balanced the budget without raising taxes
1,obama voted for tax subsidies and giveways that have slowed oil companies from pursuing clean energy sources
1,judithanne mclauchlan was part of a group that supports imposing a state income tax on floridians
1,says gas costs 450 a gallon
1,weve had the lowest health care inflation in history because of obamacare
1,one of the things we found very clearly and consistently is that video gaming is a growth industry
1,says sen ted cruz used to be in favor of birthright citizenship but is now against it
1,you cant get on an airplane but more than 2000 people on that list have been able to buy a gun
1,women are paid 77 cents on the dollar for doing the same work as men
1,weve got a personal tax system thats so complicated it costs americans about 500 billion a year to comply with the current tax code
1,says schaufler was the only democrat who voted to stop the states health care reform plan
1,the white house has three staff calligraphers making between 86000 and 97000 each and just one national security director she makes 55000
1,the obama administration offered no magic number of people that needed to sign up for health care on the marketplaces
1,the economic stimulus bill created a council thats modeled after the national board that controls britains health system
1,president barack obamas fiscal year 2013 budget proposal couldnt get support from either party in the house or the senate
1,i helped pass what if enacted would be the largest tax cut in texas history through the state senate
1,says you can buy four light bulbs for 199 at walmart while a single compact fluorescent lamp cfl costs 10 a pop
1,dan webster supports privatization of social security deep cuts in social security
1,this is the same farm bill we voted on a few weeks ago with the exception of one or two sentences
1,says mitt romney said at a january 2012 debate that under paul ryans tax plan id have paid no taxes in the last two years
1,barack obama issued a decree demanding that every public school now allow grown men and boys into the little girls bathroom
1,rick scotts administration spent over 100000 of taxpayer money during their first voter purge attempt in 2012
1,says he will pursue change in federal law to protect employees from extortion from a union because the supreme court has ruled that federal prohibitions outlawing extortion usually do not apply to unions
1,ice just endorsed me
1,georgia crackdown on illegal immigration costs state farmers 400 million last year
1,says hillary clinton wants to have open borders
1,government employees make 43 percent more in wages and benefits than privatesector workers
1,washington politicians are paid over 200000 an hour for speeches
1,obama voted to cut off funding for our american troops on the battlefield
1,medicalgrade marijuana alonewill not get that patient high no matter what level of thc cbd or any other compound is found in the plant
1,during eight years under ronald reagan africanamerican median income rose by about 5000
1,president barack obama said unemployment was never gonna go over 8 percent if we passed the stimulus plan
1,the republicancontrolled wisconsin senate approved a bill denying veterans the right to recover their medical costs for cancers they developed while serving their country
1,walmart employees receive roughly 5800 in public assistance per year
1,we refused to balance the budget on the backs of our children
1,says 38 billion in spending cuts in federal budget compromise is less than 1 billion in real cuts
1,six years after unionization 20000 fewer children in illinois were being served by the child care and development fund program
1,says when an interviewer asked donald trump if he treats women with respect trump replied i cant say that
1,says gov bob mcdonnells budget would cut prekindergarten programs
1,supported instate tuition in arkansas for illegal immigrants if youd sat in our schools from the time youre 5 or 6 years old and you had become an aplus student among other things
1,as far as standing committees we have 10 fewer standing committees so weve saved the state about a quarterofamillion dollars through the reduction of the standing committees
1,the white house promised us that all the spending would keep unemployment under 8 percent
1,says a justice department memo directs that you must openly embrace gay marriage and homosexuality
1,says judge gonzalo curiel is a member of a club or society very strongly promexican
1,says president barack obama is not paying women equally by his own measures in his own white house
1,says the obama administration watered down sanctions against iran delayed them and tried to stop congress from putting the tough sanctions in place
1,3 billion over the next five years will be taken out of our public schools and be put into vouchers
1,grocery prices have risen significantly over the past year or so
1,says debbie wasserman schultz has these offshore accounts like mitt romney
1,says cathy jordan was arrested and dragged out of her home by a swat team of hooligans for using medical marijuana
1,senate immigration legislation is the obamareid plan to give illegal immigrants amnesty
1,president barack obama gave half a billion in taxpayer money to help his friends at solyndra a business the white house knew was on the path to bankruptcy
1,we defied the standdown orders during the benghazi attack
1,the recovery act saved 60000 jobs among law enforcement officials firefighters in the state of florida plus another 20000 educators
1,the us has over 62 trillion in unfunded liabilities
1,says after hurricane sandy new york mayor michael bloomberg refused to allow the national guard into the city to restore civil order because guardsmen carry guns
1,the sequester is not something that ive proposed it is something that congress has proposed
1,says alex sink supported a 52 billion increase in floridas debt
1,today roughly half of bornagain christians arent voting theyre staying home
1,us rep jack kingston voted to fund obamacare
1,while arkansas seniors depend on social security and medicare sen mark pryor supports an overhaul so they couldnt get social security until they turn 68 or 69
1,lincoln chafee voted with president george w bush and the conservative leadership 76 of the time
1,gonzales losing campaign against me last spring was funded with more than 1 million from supporters and allies of governor bruce rauner
1,says jeb bush said he would take his pants off and moon everybody nobody reports that
1,sen robert gordon cost us money exempting the newark sports arena from paying property taxes and sticking us with the bill
1,says iraq has been overrun by isis because hillary clinton failed to renegotiate a status of forces agreement
1,the economic stimulus legislation could open billions of taxpayer dollars to leftwing groups like the association of community organizations for reform now acorn
1,sayscongressman jack kingston voted to raise his pay seven times
1,according to a recent congressional budget office report under obamacare 7 million people will lose their employersponsored insurance
1,after the texas cutoff of aid to womens health care services including planned parenthood clinics over 150000 women lost the only health care they had our medicaid birth rate shot up it cost taxpayers over 130 million in one year alone in extra medicaid birth costs
1,says matt bevin has repeatedly failed to pay his taxes
1,this year president obama canceled the 21st annual national day of prayer ceremony at the white house under the ruse of not wanting to offend anyonebut on september 25 2009 from 4 am until 7 pm a national day of prayer for the muslim religion was held on capitol hill beside the white house
1,sen robert bennett rutah cast votes for tarp the stimulus and an individual mandate for health care
1,eighty percent of the oil were discovering were discovering in the deep gulf of mexico
1,says that over the past 20 years texas public school spending rose 142 percent and perpupil spending more than tripled when adjusted for inflation
1,you dont have to be as smart as a fifthgrader to know what causes the climate is the sun the sun i have people tell me carbon dioxide warms the earth no it doesnt the sun warms the earth
1,women are paid 77 cents for every 1 men get for the same work
1,frank guinta voted to make middle class taxpayers pay over a 1000 more a year in taxes
1,i didnt campaign on a public option
1,travis county residents trusted me to take on tom delay and we won
1,there is debate among constitutional scholars about whether the first amendment will continue to protect faith leaders from being forced to perform marriages against their religious beliefs
1,says romney wrote in the first edition of his book that his health care plan should be expanded nationwide and then you took it out of your book
1,hillary clinton surged the trade deficit with china 40 as secretary of state costing americans millions of jobs
1,says rick perry flipflopped on gay marriage by first saying it was a states rights issue and then saying he was in favor of a federal constitutional amendment banning gay marriage
1,says he was the only republican candidate at a prior debate who said lowerincome workers were being hurt by the economy
1,thompson voted against 250000 caps on damages and almost anything that would make our legal system fairer
1,says mike dovilla supports a plan that could allow a foreign corporation to take over the ohio turnpike
1,iranian mullahs took american hostages and they held the american hostages for 444 days the one hour in which they released them was the one hour in which ronald reagan was taking the oath of office
1,mccain voted to cut education funding against accountability standards he even proposed abolishing the department of education
1,part of his ride was to warn the british that were already there that hey youre not going to succeed
1,the price tag amounted to nearly 4200 for every man woman and child in the state
1,when it comes to taking cuts in tough budget times wisconsin state workers havent had to sacrifice
1,says supreme court justice sonia sotomayor has animmigrant family background
1,i have always been focused on reining in the deficit
1,american colleges amount to a cartel
1,weve doubled our use of renewable energy
1,we have asked public employees to pay 10 percent of the costs of their guaranteed pension and 15 percent of the cost of their health care the leadership of those public employees unions dont want to pay anything
1,voter identification laws make it complicated and expensive to get an id essentially instituting a modernday poll tax
1,i have sent over 400 million to the border of mexico in the form of texas ranger recon teams
1,the state of rhode island has the worst statefunded pension in the country
1,ninetyfive percent of the money used for unionoperated worker training centers comes from employers
1,says mark begich has taken campaign cash from the kochs while dan sullivan hasnt
1,women earn only 77 cents for every dollar earned by men in the same position
1,were losing now over 500 billion a year in terms of imbalance with china
1,the health care and education reconciliation act is the largestever investment in higher education
1,discretionary spending went up 84 percent in the last two years
1,says donald trump is against minimum wage
1,says federal health care overhaul will cost texas state government upwards of 30 billion over the next 10 years
1,president obama told people to skip coming here las vegas for conventions and meetings
1,says that after she declared her candidacy for congress the redistricting process was manipulated to allow incumbent politicians to guarantee their reelection
1,every day about 100 people will be arrested for possession of marijuana in georgia
1,i have cut taxes 63 times including a 2006 property tax reduction that ranks as the largest in state history
1,25 percent of our economy is the financial sector
1,if theres a government shutdown people dont get their social security checks
1,dubai is the only country with huge amounts of imported workers thats actually passed legislation to give these immigrant workers a better deal in the middle east
1,under gov rick perrys leadership texas has created more jobs over the last decade than the rest of the states combined
1,says david jolly supports privatizing social security
1,the greenest county in america
1,social security took seven years before anybody got the first check
1,says barack obama told the us coast guard academy that the number one threat to the military and the world today is global warming
1,trump refuses to denounce the kkk
1,we know this now the banks no longer loan donald trump money because hes a terrible risk so he goes to these russian oligarchs and borrows money
1,says charlie bass supports paul ryan plan that forces seniors to pay 6400 a year more for health care so millionaires can pay less in taxes
1,over the last 40 years real wage growth has been flatlined because of the policies of the federal reserve it was all driven by the federal reserve
1,says only 25 percent of texas high school students graduate prepared for college or careers
1,mike madigan made a fortune on tax appeals saving his friends millions its an inside game played by people like merry marwig madigans handpicked candidate when marwig thought her property taxes were too high she got them lowered at your expense saved so much she did it again marwig and madigan profiting from the same corrupt system
1,days after the osama bin laden raid hollywood was invited into the white house so that they could receive a briefing that revealed intelligence sources and methods
1,says texas has the most uninsured people of any state 6 million
1,in recent years menhaden numbers along our coast have plummeted by 90 percent
1,says democratic recall opponent tom barrett is campaigning on lifting property tax limits
1,obama voted to raise taxes on people making just 42000
1,with obamacare were fixing to get hit with the biggest entitlement program the american taxpayers have ever seen
1,says hillary clinton gave up 20 percent of americas uranium supply to russia
1,says it has offered 12 million in savings through 2011 and 184 million in savings over the next 25 years in contract negotiations with the city of milwaukee
1,michael bennet cast the deciding vote for the stimulus and the health care bill
1,the cbo the congressional budget office has said that obamacare will kill 800000 jobs
1,says his executive order requiring young girls to be vaccinated against hpv wasnt mandatory
1,attempts to find things like crime criminal activity indictment have been filtered out by google in favor of hillary clinton
1,surface temperatures on earth have stabilized
1,we didnt go out and take information from the hillary clinton campaign
1,we would be just like north carolina with hb2like transgender bathroom legislation it actually passed our chamber and i vetoed it
1,deregulation of the states telecommunications industry will create 50000 jobs in wisconsin
1,in reality there have been no problems whatsoever with the texas voter id law
1,i have askedthedivision of emergency management toreport directly to me
1,more than 50 percent of those people getting minimum wage in this state are high school students
1,barack obamas plan gives a drivers license to any illegal who wants one
1,bill obriens tea party legislature tried to repeal kindergarten and compulsory education defund planned parenthood and eliminate insurance coverage for birth control
1,when i took office last year we faced historic budget deficits of 6 billion here in virginia and we closed those deficits by cutting spending
1,during my administration for example we boosted us exports to canada and mexico by about 50 percent that supports about 28 million american jobs
1,residents could have received nearly 48m for local schools fire district sheriffs dept and social services
1,when you were casting your vote for republicans brian kemp was voting for democrats messagemachinevotingrecord dougmacginnitie sandy springs city councilman georgia republican 1 1 0 0 0 a campaign commercial 789json halftrue i want to give every american a 5000 refundable tax credit
1,said former us ambassador to kenya scott gration was forced to resign two years ago because of his personal use of emails
1,says he voted for even stronger protections in the violence against women actthan obamas agenda will allow
1,says he is the reason we do not pay a toll every time we pass over the bridge at mopac and william cannon
1,since president obama took full control of washington every single day more than 1500 of our jobs have been lost
1,the director of the fbi said that we cannot properly vet people coming from the middle east
1,says the clinton foundation accepted millions and millions of dollars from governments like algeria saudi arabia oman and the united arab emirates which violated a ban on all contributions to the foundation from foreign nations
1,sayspatrick murphys pay more energy agenda means you could pay another 500 a year for your utility bills
1,david simpson actually voted for drivers licenses for illegal immigrants
1,says us rep connie mack took seven and a half years to finish college
1,we just fought a republican budget that ends medicare as we know it
1,says hillary clintons been very clear where she stands on trade
1,hispanic unemployment has been ticking down from an alltime high of 139 percent because of the policies weve implemented
1,we get practically nothing compared to the cost of keeping us military forces in south korea
1,republican leaders said no to tax cuts for 95 of working americans
1,25000 businesses have been created since scott walker took office
1,californias proposition 63 would criminalize the sharing of ammunition between friends who may be hunting or shooting together
1,protesters attacked the groups headquarters with graffiti on the sidewalk and stenciled images smeared on the building and statue
1,we are seeing dramatic rate cuts to medicare that will affect seniors ability to keep their doctor hospital and prevention services
1,in june jobless ranks were higher in nearly 90 percent of us cities
1,almost nine out of every 10 pennies that would be spent turning a 200mile stretch of interstate 70 into a toll road would be from folks outside missouri
1,the spillover violence from mexico in texas is real and it is escalating
1,currently we have some 4045 of americans who are not paying any taxes
1,barack obama promises higher taxes on the sale of your home
1,lloyd doggett made millions off companies like bank of america while they took taxpayer bailout money
1,you look at defense were spending more than the rest of the world combined
1,says donald trump supports an agenda out there to privatize the veterans affairshealth care system
1,wendy davis is the most popular politician in texas
1,the wisconsin retirement system for public employees is a selffunded pension plan and its the money of the workers that funds it
1,during his first year president obama said he was going to visit kim jongll and ahmadinejad and assad and chavez the worst actors in the world
1,go look at a trump product theyre all made in china
1,republicans enacted the most drastic cuts to k12 public schools of any state in the nation
1,under scott walkers policies the typical wisconsin family has actually seen their real income drop by nearly 3000 in the last four years
1,with recent growth it is very clear that privatesector jobs have been doing fine
1,michelle nunn ranks agriculture issues as the 18th most important items facing georgia
1,says mitt romney was clear that he would not provide government assistance to the us auto companies even if they went through bankruptcy
1,the capitol police force is going so far as to use paramilitary equipment in dealing with singing protesters in madison
1,as alaskas attorney general us senate candidate dan sullivan successfully fought to protect our second amendment rights and passed stand your ground
1,the muslim brotherhood has openly stated they want to declare war on israel
1,says wisconsin manufacturers commerces own 2014 survey revealed that just 15 percent of business executive respondents were in favor of righttowork legislation
1,ted cruz is in negotiations to be donald trumps running mate
1,on support for the exportimport bank
1,under president barack obama the united states has doubled our exports
1,almost 95 percent of all planned parenthood pregnancy services were abortions
1,for the last decade the climate has been cooling
1,mary burke wasted 125 million dollars on a vacant lot in a move that could cost taxpayers nearly 25 million
1,i campaigned on the proposals in the budget repair bill for wisconsin all throughout the election anybody who says they are shocked on this has been asleep for the past two years
1,some city of atlanta employees have not had raises in eight years
1,i was one of the few very few who voted no on the iran deal
1,we actually made history in 2010 we came the closest in 24 years to defeating frank pallone
1,sen mccain would occupy iraq indefinitely against their wishes
1,says donald trump always pays his bills promptly
1,on changing the rules for filibusters on presidential nominees
1,says nikita khrushchev brought an extra shoe to a united nations session in 1960 which he banged on the desk in protest
1,a measure to repeal the states prevailing wage law would make it easier for state contractors to hire illegal workers for wisconsin construction jobs through an illegal worker loophole in the state budget
1,says hillary clinton refuses to testify before congress about the 2012 attack in benghazi
1,after four years of a celebrity president 85 of recent college grads are moving back in with their parents
1,state department officials actually directed contracts for the haitian recovery after the earthquake to friends of the clintons
1,in preparing a rules package for the 112th congress the gop had no discussions with democrats
1,on repeal and replace of federal health care reform
1,when washington liberals wanted to take away our guns chet said no
1,on running a civil and polite campaign
1,the koch brothers are spending more money than either the democratic or republican parties in the 2016 elections
1,remember that developers are forced to use the 195 land union contractors so tap an extra 10 million into any construction project
1,because of president barack obamas failure to push job creation the black unemployment rate in ferguson mo is three times higher than the white unemployment rate
1,six institutions in our country now control two thirds of the capital
1,holding up a blackberry mccain campaign adviser says youre looking at the miracle john mccain helped create
1,secretary geithner has left the option on the table of abandoning the dollar for a multinational currency
1,recent data showed nevada ranks 50th in the money received from the stimulus bill
1,the government will go out and buy my breast pump for my babies
1,what were the old annual deficits under republicans have now become the monthly deficits under democrats
1,so that 2005 energy bill was a big step backwards on the path to clean renewable energy thats why i voted against it
1,the congressional budget office supposedly nonpartisan estimates that in just a few years the average cost to every family of four from cap and trade will be 6800 per year
1,massachusetts public schools teach kids as young as kindergartners about gay marriage
1,ron klein sponsored an amendment that specifically allows price gouging
1,a proposed revenue smart cap gives floridians a voice requiring a 60 percent vote by citizens in order to impose a new tax fee license fine charge or assessment
1,gas prices have doubled because obama opposed exploring for energy in alaska he gave millions of tax dollars to solyndra which then went bankrupt and he blocked the keystone pipeline so we will all pay more at the pump
1,isis is right now crucifying christians in iraq literally nailing christians to trees
1,state employees will have to pay 100 percent of their pensions and health insurance after 2012
1,when jim doyle was governor and mary burke was commerce secretary wisconsin saw billions in middleclass tax hikes on nursing home beds gas phones and garbage
1,seth magaziner plans to spend billions more of your money
1,says he got lobbied by a woman with latestage cancer about vaccinating texas girls against a virus that can cause cervical cancer
1,florida was the only state during my eight years to go from aa to aaa in its bond rating
1,on counting state budget shortfalls
1,says ohios ix center used to be a great plant but thousands of people of worked here and they left when their jobs were moved overseas
1,clackamas county commissioners approved a renegotiated agreement to lower the countys contribution to trimets portlandmilwaukie light rail project to 199 million from 25 million
1,mr trump is selffinancing his campaign so we dont have any donors
1,on george allens us senate candidacy
1,if you put the 47 billion in revenue raised over 10 years by the buffett rule into infrastructure you could create 611000 infrastructure jobs
1,says hillary clintons health care plan from the 1990s had a broader provision in favor of corporate right to back out of providing contraceptive coverage than the one created by the hobby lobby supreme court decision
1,white house political director patrick gaspard once served as the righthand man for bertha lewis who heads up acorn
1,dan gecker voted to double vehicle registration fees costing chesterfield county residents over 6 million annually
1,only the state of new york spends more money on medicaid than the state of new jersey
1,the only time government employment has gone down during a recession has been under me
1,only 25 percent of what people buy is subject to rhode islands sales tax
1,janice hahn hired hardcore gang members with taxpayer money to be gangintervention specialists she even helped them get out of jail so they could rape and kill again
1,says new jersey devils managing partner jeff vanderbeek took us into arbitration
1,says alex sinks plans for governor include 125 billion in new spending
1,says gov rick perry has been begging for the federal government to send the coast guard to patrol two lakes on the usmexico border
1,this is not a mosque its a cultural center that has a prayer area
1,on a balanced budget amendment
1,sherrod brown voted six times to raise his own pay
1,says houston national cemetery is preventing christian prayers from being said at military funerals
1,obamacare already has caused millions of hardworking virginians to lose their health insurance
1,the president gave the auto companies to the uaw
1,the democrats propose a governmentcontrolled health care plan that will deprive roughly 120 million americans of their current health care coverage
1,says he never supported federal health care individual mandate
1,you cant put a gun rack in a chevrolet volt
1,hillary clintons international travels included no serious diplomacy
1,says her representation of an exboyfriend who was then my friend in a family law case is something that lawyers do on a regular basis
1,say easing restrictions on selling alcohol on sundays will result in more traffic crashes and fatalities
1,we are now for the first time ever energy independent
1,the us economy is recovering slower than europe
1,jorge elorza wants to impose a municipal income tax
1,the climate hasnt warmed in quite a few years that is proven scientifically
1,i represent the fourthpoorest congressional district in the nation
1,my opponent in 2008 had contributions investigated by the federal government
1,clinton refused repeated requests to meet with the gold star mothers
1,says some planned parenthood chapters have been selling the body parts of aborted fetuses for profit
1,the majority of the people that are coming to arizona and trespassing are now becoming drug mules
1,on abortion
1,says suzanne bonamici supports the 500 billion cut to medicare passed last year
1,ryan sittons company accepted over 650000 in obama stimulus dollars
1,once the us government signs a un treaty on conventional arms all us citizens will be subject to those gun laws created by foreign governments
